node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
GALC,13.0,0.47366,4.0,5.0,3.505,5.0,0.15978,43.65,4.91843,255.46262,1190.0,0.5,
PINK1,49694.0,0.50255,19.0,19.0,15.266,1.0,0.19174,57.78333,5.47697,275.01301,2840.0,0.4386,
CASP1,48.0,0.58344,5.0,5.0,6.316,1.0,0.19174,45.5,5.01847,0.47143,4.0,0.9,
SQSTM1,6264.0,0.52265,19.0,19.0,16.549,1.0,0.19174,59.2,5.54366,180.98058,1748.0,0.45614,
ATN1,6.0,0.46346,3.0,3.0,3.422,1.0,0.19174,43.83333,4.95178,0.0,0.0,1.0,
ATXN1,12.0,0.38896,5.0,5.0,4.089,5.0,0.19174,45.66667,5.01847,66.60885,404.0,0.6,
ATXN3,24.0,0.26253,9.0,9.0,8.532,5.0,0.23967,52.5,5.38527,562.18246,3114.0,0.30556,
ATP13A2,42024.0,0.67321,12.0,12.0,11.971,2.0,0.19174,53.45,5.38527,108.51211,1292.0,0.69697,
FBXO7,47286.0,0.67697,13.0,13.0,12.039,2.0,0.19174,51.45,5.25189,64.30889,888.0,0.67949,
SLC6A3,42.0,0.43905,7.0,7.0,7.085,3.0,0.19174,49.78333,5.2769,128.29555,1032.0,0.57143,
LRRK2,48466.0,0.55858,17.0,17.0,15.465,1.0,0.19174,59.28333,5.60201,189.61073,2028.0,0.50735,
VPS35,41407.0,0.64394,12.0,13.0,11.83,1.0,0.19174,52.2,5.29357,136.54562,1244.0,0.5641,
GBA,46206.0,0.7981,10.0,13.0,11.293,5.0,0.19174,52.11667,5.28523,639.26715,4052.0,0.55128,
DNAJC6,240.0,0.66569,6.0,6.0,7.06,1.0,0.19174,45.2,5.01013,7.74895,198.0,0.93333,
PLA2G6,1082.0,0.64439,9.0,11.0,8.769,3.0,0.15978,45.76667,4.86842,460.6267,5858.0,0.49091,
ATP1A3,1.0,0.0,1.0,1.0,1.33,1.0,0.15978,32.21667,4.10147,0.0,0.0,0.0,
TOR1A,7.0,0.30898,3.0,6.0,3.278,5.0,0.19174,45.53333,5.05181,765.81368,2526.0,0.13333,
TBP,30.0,0.32073,8.0,8.0,7.42,3.0,0.19174,50.95,5.28523,377.76963,1720.0,0.39286,
CACNA1A,6.0,0.30898,3.0,5.0,2.846,4.0,0.19174,40.45,4.69335,676.95238,3176.0,0.2,
SLC6A4,4.0,0.30898,3.0,3.0,3.158,1.0,0.15978,42.83333,4.90176,6.03722,40.0,0.66667,
CSF1R,4.0,0.30779,2.0,4.0,3.793,1.0,0.15978,44.16667,4.97679,31.76027,184.0,0.33333,
HAP1,4.0,0.30898,3.0,3.0,5.014,1.0,0.19174,47.13333,5.16852,10.27807,56.0,0.66667,
CNTF,8.0,0.37893,4.0,4.0,4.293,1.0,0.15978,44.88333,5.03514,15.51767,80.0,0.66667,
TH,51.0,0.32239,11.0,14.0,9.099,4.0,0.19174,56.61667,5.51031,1001.35671,5132.0,0.21978,
GRN,721.0,0.71324,6.0,7.0,7.675,1.0,0.19174,46.01667,5.01013,110.15614,698.0,0.71429,
FUS,5040.0,0.71266,11.0,11.0,11.357,1.0,0.19174,51.53333,5.25189,25.88743,276.0,0.76364,
CHMP2B,2162.0,0.62053,9.0,9.0,9.055,1.0,0.19174,46.93333,5.01847,18.84007,98.0,0.72222,
UBQLN2,2167.0,0.64439,9.0,10.0,10.723,1.0,0.19174,50.81667,5.21854,58.0826,394.0,0.6,
FXN,1.0,0.0,1.0,1.0,1.242,1.0,0.15978,29.53333,3.74301,0.0,0.0,0.0,
PRRT2,2.0,0.0,1.0,2.0,1.304,2.0,0.15978,30.2,3.75968,228.0,1060.0,0.0,
CALB1,12.0,0.47366,4.0,4.0,4.293,1.0,0.15978,44.71667,5.01847,5.30074,34.0,0.83333,
CHAT,16.0,0.33284,6.0,6.0,4.906,1.0,0.15978,45.56667,5.02681,36.44421,218.0,0.46667,
CALB2,7.0,0.46346,3.0,4.0,3.581,2.0,0.15978,41.88333,4.83507,228.0,940.0,0.5,
NKX2-1,1.0,0.0,1.0,1.0,1.268,1.0,0.13695,30.44286,3.88473,0.0,0.0,0.0,
IFT57,12.0,0.47366,4.0,4.0,5.37,1.0,0.19174,46.13333,5.07682,1.60781,18.0,0.83333,
HIP1,12.0,0.47366,4.0,4.0,4.962,1.0,0.19174,46.13333,5.07682,1.60781,18.0,0.83333,
DNM1L,131.0,0.51223,7.0,8.0,9.923,1.0,0.19174,50.78333,5.28523,32.25678,468.0,0.5,
SLC18A2,16.0,0.33284,6.0,6.0,4.222,1.0,0.19174,47.2,5.14351,60.23045,460.0,0.46667,
TUBA4A,2.0,0.30779,2.0,2.0,3.707,1.0,0.15978,41.58333,4.82673,0.0,0.0,1.0,
HCRT,2.0,0.0,1.0,2.0,2.268,1.0,0.15978,38.16667,4.59332,3.96667,18.0,0.0,
SLC2A3,1.0,0.0,1.0,1.0,2.466,1.0,0.15978,37.33333,4.55997,0.0,0.0,0.0,
DCTN1,1442.0,0.6123,8.0,8.0,9.533,1.0,0.19174,49.48333,5.1852,14.81283,144.0,0.75,
PPP1R1B,2.0,0.0,1.0,2.0,1.89,1.0,0.15978,37.18333,4.47661,7.69184,28.0,0.0,
GNAO1,1.0,0.0,1.0,1.0,1.386,1.0,0.13695,33.57619,4.16816,0.0,0.0,0.0,
SIGMAR1,2.0,0.0,1.0,2.0,2.292,1.0,0.19174,39.85,4.76838,17.68889,84.0,0.0,
SGCE,5.0,0.30898,3.0,4.0,2.023,2.0,0.15978,38.1,4.48494,79.55628,176.0,0.33333,
EIF4G1,7.0,0.46346,3.0,4.0,5.045,1.0,0.15978,42.25,4.82673,4.39833,40.0,0.5,
HTRA2,846.0,0.6123,8.0,8.0,9.026,1.0,0.19174,49.36667,5.22688,40.62347,678.0,0.75,
GCH1,4.0,0.30779,2.0,4.0,2.282,1.0,0.15978,39.75,4.65167,47.18395,170.0,0.33333,
SPR,2.0,0.30779,2.0,2.0,1.871,1.0,0.15978,38.25,4.60999,0.0,0.0,1.0,
HEXA,1.0,0.0,1.0,1.0,1.276,1.0,0.13695,28.32619,3.5346,0.0,0.0,0.0,
GRIK2,6.0,0.46346,3.0,3.0,2.807,1.0,0.15978,36.5,4.42659,0.0,0.0,1.0,
SETDB1,1.0,0.0,1.0,1.0,1.767,1.0,0.15978,35.0,4.36824,0.0,0.0,0.0,
RASD2,1.0,0.0,1.0,1.0,2.467,1.0,0.19174,42.45,4.90176,0.0,0.0,0.0,
UBE2K,8.0,0.37893,4.0,4.0,6.019,1.0,0.19174,48.78333,5.24355,21.16402,144.0,0.66667,
TCERG1,1.0,0.0,1.0,1.0,2.562,1.0,0.19174,42.45,4.90176,0.0,0.0,0.0,
ZDHHC17,1.0,0.0,1.0,1.0,2.952,1.0,0.19174,42.45,4.90176,0.0,0.0,0.0,
JPH3,1.0,0.0,1.0,1.0,1.092,1.0,0.0124,1.5,0.07438,0.0,0.0,0.0,
VPS13A,2.0,0.0,1.0,2.0,1.172,3.0,0.02479,2.0,0.08678,2.0,2.0,0.0,
NOTCH3,3.0,0.30779,2.0,3.0,4.652,1.0,0.19174,44.68333,5.01013,6.82015,54.0,0.33333,
NPC1,1.0,0.0,1.0,1.0,1.099,1.0,0.01653,1.0,0.04959,0.0,0.0,0.0,
NPC2,1.0,0.0,1.0,1.0,1.099,1.0,0.01653,1.0,0.04959,0.0,0.0,0.0,
PANK2,1.0,0.0,1.0,1.0,1.535,1.0,0.13695,31.70952,3.91807,0.0,0.0,0.0,
SPG11,1.0,0.0,1.0,1.0,1.902,1.0,0.13695,31.70952,3.91807,0.0,0.0,0.0,
PNKD,1.0,0.0,1.0,1.0,1.098,1.0,0.13695,23.85714,2.80934,0.0,0.0,0.0,
THAP1,2.0,0.30779,2.0,2.0,1.478,1.0,0.15978,33.38333,4.16816,0.0,0.0,1.0,
TAF1,2.0,0.30779,2.0,2.0,3.108,1.0,0.19174,41.43333,4.81006,0.0,0.0,1.0,
TGM2,1.0,0.0,1.0,1.0,1.261,1.0,0.15978,32.21667,4.10147,0.0,0.0,0.0,
UBE3A,3.0,0.30779,2.0,3.0,4.37,1.0,0.19174,42.71667,4.85174,3.11276,22.0,0.33333,
XK,1.0,0.0,1.0,1.0,1.088,1.0,0.0124,1.5,0.07438,0.0,0.0,0.0,
