node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CP,2.0,0.0,1.0,2.0,7.049,2.0,0.13832,35.12619,6.14561,240.0,780.0,0.0,
ATXN2,160.0,0.3791,10.0,12.0,50.181,4.0,0.16138,51.58333,7.04185,404.13091,2140.0,0.30303,
FUS,17766.0,0.64095,15.0,15.0,55.519,1.0,0.19365,53.1,7.09786,71.68467,678.0,0.60952,
UBQLN2,13610.0,0.6081,14.0,14.0,55.202,1.0,0.19365,52.01667,7.01784,80.69349,674.0,0.59341,
CHCHD10,49.0,0.58344,5.0,6.0,41.02,1.0,0.16138,46.36667,6.8498,57.84768,264.0,0.6,
EIF4G1,16.0,0.33284,6.0,6.0,39.478,1.0,0.16138,47.5,6.92982,51.08328,388.0,0.46667,
VAPB,8163.0,0.6293,12.0,13.0,53.21,2.0,0.16138,49.58333,6.8578,266.96419,2354.0,0.55128,
CACNA1A,3.0,0.30779,2.0,3.0,17.337,3.0,0.16138,39.26667,6.43369,476.0,1816.0,0.33333,
ATXN3,14.0,0.47366,4.0,6.0,38.132,4.0,0.16138,50.56667,7.15388,409.20892,1488.0,0.4,
STUB1,160.0,0.49567,8.0,10.0,46.346,4.0,0.19365,54.65,7.32192,787.49583,3044.0,0.37778,
VCP,14894.0,0.50925,19.0,19.0,57.192,2.0,0.19365,59.26667,7.37794,325.89267,2752.0,0.44444,
FA2H,24.0,0.56839,4.0,4.0,11.273,1.0,0.13832,33.53571,5.80152,0.0,0.0,1.0,
PANK2,52.0,0.40246,7.0,7.0,19.44,1.0,0.13832,40.92619,6.36967,172.8244,996.0,0.52381,
WDR45,24.0,0.56839,4.0,4.0,12.257,1.0,0.13832,33.53571,5.80152,0.0,0.0,1.0,
DCAF17,48.0,0.58344,5.0,5.0,12.33,1.0,0.13832,34.03571,5.80952,0.5,2.0,0.9,
COASY,48.0,0.58344,5.0,5.0,12.368,1.0,0.13832,34.03571,5.80952,0.5,2.0,0.9,
GRN,721.0,0.71324,6.0,7.0,42.835,1.0,0.19365,48.96667,7.01784,141.29261,684.0,0.71429,
CHMP2B,3243.0,0.5854,12.0,13.0,52.067,3.0,0.19365,51.93333,7.07386,307.86473,1546.0,0.51282,
TBK1,240.0,0.66569,6.0,6.0,41.643,1.0,0.16138,44.23333,6.68175,0.4,4.0,0.93333,
RAB29,7.0,0.46346,3.0,4.0,33.21,1.0,0.19365,49.71667,7.14587,13.09838,134.0,0.5,
RAB39B,2.0,0.30779,2.0,2.0,21.212,1.0,0.16138,40.73333,6.55372,0.0,0.0,1.0,
OPTN,14569.0,0.63865,13.0,14.0,53.57,1.0,0.16138,53.83333,7.12987,126.54877,1416.0,0.54945,
